"player_name","year","wins"
"Roger Federer","2000","36"
"Roger Federer","2001","49"
"Roger Federer","2002","61"
"Rafael Nadal","2002","1"
"Roger Federer","2003","77"
"Rafael Nadal","2003","14"
"Roger Federer","2004","75"
"Rafael Nadal","2004","30"
"Novak Djokovic","2004","2"
"Roger Federer","2005","81"
"Rafael Nadal","2005","79"
"Novak Djokovic","2005","11"
"Roger Federer","2006","92"
"Rafael Nadal","2006","60"
"Novak Djokovic","2006","40"
"Rafael Nadal","2007","75"
"Roger Federer","2007","69"
"Novak Djokovic","2007","68"
"Rafael Nadal","2008","78"
"Roger Federer","2008","67"
"Novak Djokovic","2008","64"
"Novak Djokovic","2009","78"
"Rafael Nadal","2009","68"
"Roger Federer","2009","61"
"Rafael Nadal","2010","71"
"Roger Federer","2010","66"
"Novak Djokovic","2010","63"
"Novak Djokovic","2011","72"
"Rafael Nadal","2011","70"
"Roger Federer","2011","64"
"Novak Djokovic","2012","75"
"Roger Federer","2012","74"
"Rafael Nadal","2012","42"
"Rafael Nadal","2013","81"
"Novak Djokovic","2013","74"
"Roger Federer","2013","48"
"Roger Federer","2014","71"
"Novak Djokovic","2014","65"
"Rafael Nadal","2014","44"
"Novak Djokovic","2015","83"
"Roger Federer","2015","63"
"Rafael Nadal","2015","61"
"Novak Djokovic","2016","66"
"Rafael Nadal","2016","40"
"Roger Federer","2016","21"
"Rafael Nadal","2017","8"
"Novak Djokovic","2017","7"
"Roger Federer","2017","7"
