"player_name","year","wins"
"Venus Williams","2000","41"
"Serena Williams","2000","37"
"Venus Williams","2001","50"
"Serena Williams","2001","40"
"Venus Williams","2002","59"
"Serena Williams","2002","57"
"Maria Sharapova","2002","1"
"Serena Williams","2003","38"
"Venus Williams","2003","26"
"Maria Sharapova","2003","24"
"Maria Sharapova","2004","55"
"Venus Williams","2004","44"
"Serena Williams","2004","39"
"Maria Sharapova","2005","53"
"Venus Williams","2005","37"
"Serena Williams","2005","21"
"Maria Sharapova","2006","59"
"Venus Williams","2006","13"
"Serena Williams","2006","12"
"Venus Williams","2007","50"
"Maria Sharapova","2007","40"
"Serena Williams","2007","35"
"Serena Williams","2008","44"
"Venus Williams","2008","40"
"Maria Sharapova","2008","33"
"Serena Williams","2009","50"
"Venus Williams","2009","38"
"Maria Sharapova","2009","31"
"Venus Williams","2010","38"
"Maria Sharapova","2010","33"
"Serena Williams","2010","25"
"Maria Sharapova","2011","43"
"Serena Williams","2011","22"
"Venus Williams","2011","8"
"Serena Williams","2012","63"
"Maria Sharapova","2012","61"
"Venus Williams","2012","24"
"Serena Williams","2013","78"
"Maria Sharapova","2013","40"
"Venus Williams","2013","20"
"Serena Williams","2014","48"
"Maria Sharapova","2014","47"
"Venus Williams","2014","29"
"Serena Williams","2015","53"
"Venus Williams","2015","41"
"Maria Sharapova","2015","39"
